datetime,outdoor_temperature,indoor_temperature,past_electricity,y
25-11-22 11:00,22.32982673,16.5,1557.6625,1929.025
18-10-22 13:00,23.69146882,19.0,2037.75,1100.425
18-11-22 10:00,24.46860987,21.75,958.15,888.85
07-11-22 10:00,24.08470851,15.91666667,1407.55,1545.73
01-11-22 15:00,23.78041149,21.0,2092.575,1329.9
05-10-22 12:00,26.54003472,22.16666667,1224.05,895.4625
10-10-22 11:00,25.81532007,21.5,1175.0125,1389.85
07-10-22 12:00,26.1297826,22.16666667,1912.6125,1305.6125
03-11-22 10:00,24.63694038,20.41666667,803.175,917.725
27-10-22 14:00,25.58683324,22.0,2461.95,4160.225
13-12-22 09:00,21.01210987,16.91666667,676.275,528.0375
02-12-22 11:00,22.41590933,17.75,1488.35,1143.025
14-11-22 13:00,21.38,18.0,1939.0,2509.475
19-10-22 15:00,24.00953179,20.0,586.7625,1816.65
12-10-22 11:00,25.62205179,21.25,1781.5625,1551.7875
18-11-22 08:00,22.90571399,19.75,539.125,507.7
08-12-22 08:00,20.29823286,16.5,510.55,979.6
08-12-22 14:00,21.17597968,21.0,2298.75,1941.55
04-11-22 10:00,23.81348904,18.5,917.725,1407.55
11-10-22 09:00,22.88220459,17.75,838.3125,748.2875
09-12-22 15:00,21.84836857,20.0,1996.975,2448.525
09-11-22 14:00,23.29748522,20.0,991.45,1215.9
25-11-22 10:00,22.08230198,15.83333333,940.55,1002.85
21-11-22 14:00,23.71314373,23.5,1893.6,1818.085
14-12-22 15:00,22.25270368,18.0,2386.25,1900.95
04-10-22 12:00,27.01385992,24.16666667,3061.65,1224.05
22-11-22 08:00,21.66414566,16.0,425.2875,545.925
21-12-22 08:00,20.13999687,13.25,989.5125,569.825
20-10-22 12:00,24.08542894,20.58333333,1656.0875,2325.825
15-11-22 10:00,21.89320979,16.91666667,1162.6,717.725
16-12-22 12:00,22.80766708,21.5,2184.05,1762.4125
10-11-22 13:00,22.50957355,19.91666667,1195.9625,1939.0
03-11-22 11:00,25.11503887,21.5,921.275,1337.65
20-10-22 10:00,23.95210535,19.75,1377.775,1502.85
28-11-22 12:00,21.48772983,15.58333333,2209.8,3084.85
10-11-22 15:00,23.3324356,19.41666667,1544.6625,1533.4
13-10-22 13:00,25.87100774,22.83333333,1944.9875,943.05
11-10-22 15:00,25.91870581,23.58333333,1626.9625,1178.125
10-10-22 08:00,23.91760446,17.25,424.925,685.5
